Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene % GC content	MGI symbol
ENSMUSG00000064336	MT	1	68	1	30.88	mt-Tf
ENSMUSG00000064337	MT	70	1024	1	35.81	mt-Rnr1
ENSMUSG00000064338	MT	1025	1093	1	39.13	mt-Tv
ENSMUSG00000064339	MT	1094	2675	1	35.40	mt-Rnr2
ENSMUSG00000064340	MT	2676	2750	1	44.00	mt-Tl1
ENSMUSG00000064341	MT	2751	3707	1	37.62	mt-Nd1
ENSMUSG00000064342	MT	3706	3774	1	27.54	mt-Ti
ENSMUSG00000064343	MT	3772	3842	-1	36.62	mt-Tq
ENSMUSG00000064344	MT	3845	3913	1	44.93	mt-Tm
ENSMUSG00000064345	MT	3914	4951	1	35.74	mt-Nd2
ENSMUSG00000064346	MT	4950	5016	1	40.30	mt-Tw
ENSMUSG00000064347	MT	5018	5086	-1	33.33	mt-Ta
ENSMUSG00000064348	MT	5089	5159	-1	33.80	mt-Tn
ENSMUSG00000064349	MT	5192	5257	-1	36.36	mt-Tc
ENSMUSG00000064350	MT	5260	5326	-1	34.33	mt-Ty
ENSMUSG00000064351	MT	5328	6872	1	39.87	mt-Co1
ENSMUSG00000064352	MT	6870	6938	-1	37.68	mt-Ts1
ENSMUSG00000064353	MT	6942	7011	1	17.14	mt-Td
ENSMUSG00000064354	MT	7013	7696	1	38.60	mt-Co2
ENSMUSG00000064355	MT	7700	7764	1	33.85	mt-Tk
ENSMUSG00000064356	MT	7766	7969	1	31.86	mt-Atp8
ENSMUSG00000064357	MT	7927	8607	1	35.98	mt-Atp6
ENSMUSG00000064358	MT	8607	9390	1	38.90	mt-Co3
ENSMUSG00000064359	MT	9391	9458	1	30.88	mt-Tg
ENSMUSG00000064360	MT	9459	9806	1	33.05	mt-Nd3
ENSMUSG00000064361	MT	9808	9875	1	22.06	mt-Tr
ENSMUSG00000065947	MT	9877	10173	1	41.08	mt-Nd4l
ENSMUSG00000064363	MT	10167	11544	1	35.63	mt-Nd4
ENSMUSG00000064364	MT	11546	11612	1	31.34	mt-Th
ENSMUSG00000064365	MT	11613	11671	1	32.20	mt-Ts2
ENSMUSG00000064366	MT	11671	11741	1	30.99	mt-Tl2
ENSMUSG00000064367	MT	11742	13565	1	37.12	mt-Nd5
ENSMUSG00000064368	MT	13552	14070	-1	34.10	mt-Nd6
ENSMUSG00000064369	MT	14071	14139	-1	34.78	mt-Te
ENSMUSG00000064370	MT	14145	15288	1	39.07	mt-Cytb
